job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
Backend Java Developer,PT. Vlink Consulting Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Java,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,8000000,20000000,22,9
Backend Java Developer,Pt Kulego Tiga Kreasi,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-13 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Quarkus | +4,22 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,7000000,13000000,22,12
Backend Developer (Node.js),PT Imecon Teknindo,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-11 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+19 | Microsoft SQL Server,10 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,6000000,11000000,27,26
Lead Backend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,5–10 tahun,Minimal Sarjana (S1),+6 | apache kafka,21 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,0,0,0,22,17
Backend Developer - Internship,Peduly,"Surabaya,Jawa Timur",Rp 1 jt-1 jt,Magang,Not Specified,Minimal Sarjana (S1),+2 | Hybrid | Laravel Framework,18 hari yang lalu,glints,Surabaya,Jawa Timur,1,1000000,1000000,30,31
[INTERN] Backend Developer,Meda,"Surabaya,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),+7 | HTTP | Go / Golang,12 jam yang lalu,glints,Surabaya,Jawa Timur,0,0,0,26,23
Backend Developer Specialist,SIMANTEK,"Jakarta Pusat,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),PostgreSQL | +8,8 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,8000000,12000000,28,15
Backend Developer - Internship,Rintisar,"Surabaya,Jawa Timur",Tidak Ditampilkan,Magang,Not Specified,Minimal Sarjana (S1),Hybrid | Laravel | +9,2 hari yang lalu,glints,Surabaya,Jawa Timur,0,0,0,30,21
Frontend Developer,PT Code Development Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Front-End Architecture | +3,Kemarin,glints,Jakarta Selatan,DKI Jakarta,1,7000000,10000000,18,27
Frontend Developer,PT Pronata Data Insani,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),React Native | +7,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,18,17
Frontend Developer,Delta HQ,"Surabaya,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | JavaScript,4 hari yang lalu,glints,Surabaya,Jawa Timur,0,0,0,18,15
Frontend Developer,PT Talent Placement Consulting Indonesia,"Jakarta Utara,DKI Jakarta",Rp 7 jt-9 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | Next.Js,14 hari yang lalu,glints,Jakarta Utara,DKI Jakarta,1,7000000,9000000,18,12
Frontend Developer,GlobalXtreme,"Kab. Badung,Bali",Rp 6 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+6 | React.js,15 hari yang lalu,glints,Kab. Badung,Bali,1,6000000,8000000,18,13
Frontend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Vue.js | +9,21 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,0,0,0,18,11
Frontend Developer,PT KODE KOLEKTIF INDONESIA,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Next.Js | +3,14 jam yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,18,12
Frontend Developer,PT. Solusi Kode Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,5 jt-8,5 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+13 | Remote/Dari rumah,Kemarin,glints,Jakarta Selatan,DKI Jakarta,1,6500000,8500000,18,23
Frontend Developer,Slameticon Digital Valley,"Kab. Banyumas,Jawa Tengah",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Next.Js | +8,Kemarin,glints,Kab. Banyumas,Jawa Tengah,0,0,0,18,12
