job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,cluster_prediction
Software Developer,AFRA,"Tangerang Selatan,Banten","Rp 7,5 jt-9 jt",Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+10 | Restful API,0
Software Developer,PT Panorama Sentrawisata Tbk,"Jakarta Barat,DKI Jakarta",Rp 10 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Problem Solving,0
Software Developer,PT VENTERA INTELLIX GROUP,"Kab. Klaten,Jawa Tengah","Rp 3,5 jt-5 jt",Penuh Waktu,Not Specified,Minimal Sarjana (S1),Hybrid | +7 | GIT,0
Software Developer,PT. Karpa Imaji Labs,"Tangerang Selatan,Banten",Rp 10 jt-20 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+5 | Node.js,0
Software Developer,PT ALPHA STORY INDONESIA,"Jakarta Pusat,DKI Jakarta",Rp 12 jt-18 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Python | +4,0
Software Developer,Tivinity,"Jakarta Selatan,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),Hybrid | Restful API | +3,0
Software Developer,WIRATEK SOLUSI ASIA,"Kab. Banyumas,Jawa Tengah",Rp 2 jt-3 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+7 | PHP,0
Software Developer (Golang Developer),PT Sigma Global Teknologi,"Jakarta Barat,DKI Jakarta",Rp 9 jt-13 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,0
Junior Software Developer,PT Stampindo Lancar Jaya,"Jakarta Barat,DKI Jakarta",Rp 6 jt-8 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,Python | Redis | PostgreSQL,0
Software Developer Officer,PT Lentera Kreasi Teknologi,"Jakarta Barat,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Laravel | +12,0
Entry-Level Software Developer,PT Azentra Solusi Digital,"Kab. Tangerang,Banten","Rp 5 jt-5,5 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),Hybrid | +4,0
Flutter Developer,PropNex Indonesia,"Surabaya,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | REST API,0
Flutter Developer,ALL MEDIA INDO,"Kab. Sidoarjo,Jawa Timur",Rp 2 jt-3 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,+2 | Database Management | Flutter,0
Software Developer Intern/Staff - Jakarta,PT. Norxel Teknologi Indonesia,"Jakarta Utara,DKI Jakarta","Rp 3,6 jt-4,5 jt",Kontrak,Not Specified,Minimal Sarjana (S1),+3 | C++ | MySQL,1
Software .Net Developer,Pt Profescipta Wahanatehnik,"Kab. Magelang,Jawa Tengah",Rp 3 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+4 | Microsoft SQL Server,0
FULLSTACK DEVELOPER FLUTTER,PT Cartenz Technology Indonesia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | jQuery,0
IT Developer and software,PT Mitra Foto Abadi,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Backend Development | +8,0
Fullstack Developer,PT Lumos Inisiatif Indonesia,"Jakarta Barat,DKI Jakarta","Rp 5,6 jt-8,4 jt",Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+2 | Go / Golang,0
Fullstack Developer,PT Traders Family International,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | MySQL,0
Fullstack Developer,PT. Amar Mulia Bersama,"Jakarta Utara,DKI Jakarta","Rp 6 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | MySQL,0
Web Developer,PT. CITRA WARNA ABADI,"Kab. Sukoharjo,Jawa Tengah","Rp 2,5 jt-3,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | PostgreSQL,0
Fullstack Developer,PT. Tenaga Kanggo Indonesia,"Kab. Tangerang,Banten",Rp 6 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | React.js,0
IOS Developer,PT Code Development Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | React Native,0
iOS Developer,PT Visionet Data Internasional,"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+4 | IT Security,0
Sr. Flutter Developer,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+4 | Restful API,0
Fullstack Developer,PT. Menara Integrasi Indonesia,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+14 | Node.js,0
Mobile Developer (Flutter),PT. Deptech Digital Indonesia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | iOS Development,0
Backend Developer,PT. 4net Prima Solusi,"Jakarta Selatan,DKI Jakarta","Rp 5,8 jt-10 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+11 | Node.js,0
Backend Developer,VGLANT,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),Hybrid | +17,0
Backend Developer,PT. Enigma Cipta Humanika (Enigma Camp),"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+5 | Agile Methodologies,0
Backend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Quarkus | +5,0
Backend Developer,PT KODE KOLEKTIF INDONESIA,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Java,0
Backend Developer,PT Pronata Data Insani,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+3 | Go / Golang,0
Backend Developer,PT Inovasi Teknokarya Nusantara,"Bandung,Jawa Barat","Rp 1,9 jt-2,1 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Hybrid | +7,0
Backend Developer,PT Gemilang Bisnis Universal,"Tangerang Selatan,Banten",Rp 7 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Python | +6,0
Backend Developer,PT. ASABA DIGITAL INNOTECH,"Jakarta Selatan,DKI Jakarta",Rp 7 jt-11 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | Go / Golang,0
Backend Developer,ADI Consulting,"Tangerang Selatan,Banten",Rp 11 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Warehouse Management | +3,0
Backend Golang Developer,PT Aktualisasi Gratia Talenta Indonesia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,5–10 tahun,Minimal Diploma (D1 - D4),+5 | Remote/Dari rumah,0
Backend Developer (Intermediate/Senior Backend Developer),PT YAKIN BERTUMBUH SEKURITAS,"Surabaya,Jawa Timur",Rp 7 jt-8 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+5 | Go / Golang,0
Backend Developer (Golang),PT Inosoft Trans Sistem,"Surabaya,Jawa Timur",Rp 7 jt-10 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+4 | Remote/Dari rumah,0
Backend Developer,Komerce,"Kab. Purbalingga,Jawa Tengah",Rp 2 jt-5 jt,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),+2 | Go / Golang | RabbitMQ,0
Golang Developer Backend,PT Entrepreneur Trust Digital,"Jakarta Pusat,DKI Jakarta",Rp 8 jt-11 jt,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Docker,0
