job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,cluster_prediction
Full Stack Developer,Goseki Manufacturing Indonesia,"Tangerang,Banten",Rp 5 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+9 | Bootstrap,0
Full Stack Developer,Solutech Indonesia Maju,"Jakarta Pusat,DKI Jakarta","Rp 7 jt-9,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+6 | TypeScript,0
Full Stack Developer,Canggu Ink Club,"Kab. Badung,Bali",Rp 15 jt-20 jt,Kontrak,1–3 tahun,Minimal SD,+7 | jQuery,0
Full Stack Developer,PT. Azaya Fiber Nusantara,"Kab. Bogor,Jawa Barat",Rp 4 jt-6 jt,Penuh Waktu,Not Specified,Minimal Sarjana (S1),Next.Js | +9 | Express.Js,0
Full Stack Developer,PT Nayaka Pratama,"Jakarta Timur,DKI Jakarta","Rp 4,5 jt-5,5 jt",Kontrak,3–5 tahun,Minimal Diploma (D1 - D4),Claude | +12,0
Full Stack Developer,DeskTeam360.com,"Malang,Jawa Timur",Rp 5 jt-7 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +12,0
Full Stack Developer,KIMSUPPLY WARUNGMARENTA JOYJAN,"Cimahi,Jawa Barat",Rp 4 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,PostgreSQL | +9,0
Web Developer,PT Sukses Mulia Seimbang,"Kab. Sukoharjo,Jawa Tengah",Rp 2 jt-3 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | HTML,0
Web Developer,Uprint.id,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+10 | C++,0
Web Developer,PT. Inovasi Mitra Sejati,"Tangerang,Banten","Rp 5,4 jt-6 jt",Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),C# | +9 | PostgreSQL,0
Web Developer,PT GIOTECH ARTHA CEMERLANG,"Pasuruan,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,JavaScript | +3,0
Web Developer,Kan Jia Indonesia,"Jakarta Timur,DKI Jakarta",Rp 7 jt-8 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+7 | CSS,0
Web Developer,UPVC BALI SOLUTION,"Denpasar,Bali",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),JavaScript | +8,0
Web Developer,Jogja Tama,"Kab. Sleman,DI Yogyakarta","Rp 2,8 jt-3 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | PHP,0
Web Developer,CV Mediatama Solo,"Kab. Karanganyar,Jawa Tengah",Rp 2 jt-3 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Android Development | +8,0
Web Developer,Minilemon,"Surabaya,Jawa Timur",Rp 10 jt,Freelance,3–5 tahun,Minimal SMA/SMK,Hybrid | +6,0
Web Developer,Intishaka Global Solusindo,"Jakarta Selatan,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),jQuery | +8,0
Web Developer,LOGO DE CORPS,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+3 | MySQL,0
WEB DEVELOPER,EveTech Solution,"Kab. Sukoharjo,Jawa Tengah","Rp 1,2 jt-1,5 jt",Paruh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+11 | Problem Solving,0
Web Developer,Akur Optik 55,"Kab. Bantul,DI Yogyakarta","Rp 4 jt-4,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | JavaScript,0
Web Developer,Pt. Nusantara Berkah Digital,"Kab. Bantul,DI Yogyakarta","Rp 3 jt-4,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Vue.js | +3,0
Web Developer,PT. Alltrek Outdoorindo Perkasa,"Jakarta Barat,DKI Jakarta",Rp 8 jt-10 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | JavaScript,0
Web Developer,PT Tri Cahya Purnama,"Semarang,Jawa Tengah","Rp 3,5 jt-5 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+6 | Frontend Development,0
Web Developer,Pt.maxima Global Teknologi,"Bandung,Jawa Barat","Rp 3,2 jt-5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | PostgreSQL,0
Web Developer,Adibayu Gajah Semakmur,"Kab. Sleman,DI Yogyakarta",Rp 4 jt-6 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+5 | MySQL,0
Web Developer,Andini Dental,"Kab. Sleman,DI Yogyakarta",Rp 2 jt-3 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,Hybrid | HTML | +8,0
Web Developer,Pt. Aksamala Adi Andana,"Kab. Sleman,DI Yogyakarta","Rp 4 jt-5,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Website Management | +11,0
Web Developer,Ohana Suites Yogyakarta,"Yogyakarta,DI Yogyakarta",Rp 2 jt-3 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Remote/Dari rumah,0
Web Developer,CV Langgeng sukses berkah,"Kab. Sukoharjo,Jawa Tengah","Rp 2 jt-2,3 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Code Review | +5,0
Fullstack Web Developer,PT Bravo Satria Perkasa,"Jakarta Timur,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+16 | Vue.js,0
Fullstack Web Developer,Kelanara Studio,"Bogor,Jawa Barat",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,+3 | Laravel | Express.Js,0
WordPress Web Developer,PiliPili,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +11,0
JUNIOR WEB DEVELOPER,INIXINDO,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal SMA/SMK,Wireframing | +6 | Search Engine Optimization (SEO),0
Web Developer WFO,jobnation,"Malang,Jawa Timur","Rp 1,5 jt",Penuh Waktu,Not Specified,Minimal SMA/SMK,+2 | PHP | JavaScript,0
Web Developer (Wordpress),Tempat Belajar,"Kab. Sleman,DI Yogyakarta","Rp 2,6 jt-3 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | Remote/Dari rumah,0
Mobile Developer,PT Safepedia Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-8 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+6 | Xcode,0
Mobile Developer,PT Rumah Perawatan Indonesia,"Kab. Bekasi,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Android Development,0
Mobile Developer,PT Sigma Global Teknologi,"Jakarta Utara,DKI Jakarta",Rp 9 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+6 | Kotlin,0
Mobile Developer,PT Hireup Solusi Talenta,"Jakarta Barat,DKI Jakarta",Rp 6 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Flutter,0
Mobile Developer,PT NEARBY DIGITAL INDONESIA,"Kab. Bogor,Jawa Barat",Rp 8 jt-15 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +10,0
Mobile Developer,PT Gracia Visi Pratama,"Semarang,Jawa Tengah","Rp 3,7 jt-4 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Restful API | +9,0
Mobile Developer,"PT ENSEVAL PUTERA MEGATRADING, TBK","Jakarta Timur,DKI Jakarta",Rp 7 jt-9 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Mobile Development,0
Mobile Developer,Booking To Go,"Jakarta Barat,DKI Jakarta",Rp 6 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Android Development,0
Mobile Developer,PT. Vlink Consulting Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-14 jt,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),Angular.js | +6,0
Mobile Developer (Flutter),Yayasan Bantu Bersama Sejahtera,"Yogyakarta,DI Yogyakarta","Rp 2,5 jt-4 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Restful API,0
Senior Mobile Developer,PT Teknologi Struktur Berantai,"Jakarta Selatan,DKI Jakarta",Rp 12 jt-17 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+5 | Swift,0
Junior Mobile Developer,CV. Tomojoyo Niaga,"Kab. Kediri,Jawa Timur",Rp 3 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Hybrid | +10,0
Mobile App Flutter Developer,Pt. Triniti Terang Teknologi,"Jakarta Selatan,DKI Jakarta","Rp 1,2 jt-3 jt",Kontrak,1–3 tahun,Minimal SMA/SMK,Hybrid | +5,0
Senior Mobile Developer,Darmawan Aryansyah Grup,"Jakarta Selatan,DKI Jakarta",Rp 13 jt-17 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),Swift | +8,0
Mobile dan Web Developer,PT. Giga Berkah Teknologi,"Malang,Jawa Timur","Rp 3,5 jt-6 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+7 | JavaScript,0
React Native Mobile Developer,PT Sigma Global Teknologi,"Jakarta Utara,DKI Jakarta",Rp 10 jt-10 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | React Native,0
Flutter Mobile Developer (IOS & Android),Madebyhumans,"Kab. Badung,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Remote/Dari rumah | +8,2
Mobile App Developer,Mahir Digital,"Depok,Jawa Barat",Rp 6 jt-10 jt,Freelance,3–5 tahun,Minimal Sarjana (S1),Hybrid | +4,0
Senior Mobile Application Developer (Flutter),PT Sumihai Teknologi Indonesia,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Hybrid | +9,0
Fullstack Mobile Developer (React Native),Ogya Tekno Nusantara,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),TypeScript | +5,0
"Flutter Mobile Developer (Full-Time, Remote)",FMTPLA,"Kab. Sleman,DI Yogyakarta",Rp 7 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Remote/Dari rumah,2
Android Developer,PT SPEND GROUP INTERNASIONAL,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Live Streaming Protocols | +5,0
Android Developer,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 9 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | Kotlin,0
ANDROID  DEVELOPER,PT Talent Placement Consulting Indonesia,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | MVVM,0
Android App Developer,AAInvestment,"Kab. Sleman,DI Yogyakarta",Tidak Ditampilkan,Kontrak,3–5 tahun,Minimal Sarjana (S1),Hybrid | +10,0
Android developer kotlin,PT 360 Teknologi Indonesia,"Jakarta Utara,DKI Jakarta",Rp 6 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Hybrid | +3,0
Android Developer (Banking Industry - ASAP),PT Sigma Global Teknologi,"Tangerang Selatan,Banten","Rp 8,5 jt-9 jt",Kontrak,3–5 tahun,Minimal Sarjana (S1),React Native | +4,2
Android Developer - Loc: Jakarta Utara,PT Sigma Global Teknologi,"Jakarta Utara,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+6 | Restful API,2
Android Developer - Banking Syariah Industry,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),React Native | +7,2
Android Developer (Kotlin) - Prefer ASAP / WFO Sudirman,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-13 jt,Kontrak,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Kotlin,2
Android Developer (Kotlin Java) - Syaria Banking Industry,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 9 jt-12 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | Java,2
IT Programmer (Android),Total Inpro Multitech,"Jakarta Pusat,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | iOS Development,0
Teknisi Gadget- Apple/ Android/ MacBook/ Laptop Gaming,DR GADGET,"Jakarta Utara,DKI Jakarta",Rp 4 jt-6 jt,Kontrak,1–3 tahun,Minimal SMA/SMK,+6 | Customer Service,2
Front End Android - Banking Syariah,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),React Native | +5,2
ANDROID OPEN SOURCE PROJECT ENGINEER,Verset Teknologi Nusantara,"Jakarta Barat,DKI Jakarta",Rp 8 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Android Development,0
Frontend (React Native & Android) - Banking Syariah,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+3 | Frontend Development,2
Developer,PT Computrade Technology International,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),HTML | +18 | React.js,0
Java Developer,Glints Taploker,"Batam,Kepulauan Riau",Rp 10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+3 | MySQL,0
website developer,PT Guataka Makmur Horecaba Indonesia,"Jakarta Barat,DKI Jakarta","Rp 5,6 jt-8,4 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+3 | CSS,0
IOS Developer,Titipku,"Kab. Tangerang,Banten","Rp 5,8 jt-8 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | IT Support,0
IOS Developer,PT 360 Teknologi Indonesia,"Jakarta Utara,DKI Jakarta","Rp 6 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | iOS Testing,0
iOS Developer,PT Global LanceSoft Indonesia,"Jakarta Barat,DKI Jakarta",Rp 6 jt-9 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | GIT,0
iOS Developer for Banking Industry,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 12 jt-15 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+6 | Xcode,0
iOS Developer - Prefer ASAP / WFO Sudirman,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-13 jt,Kontrak,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Swift,2
"Senior Flutter Developer (iOS) - WFO Jakarta area, Prefer ASAP",PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-12 jt,Kontrak,5–10 tahun,Minimal Diploma (D1 - D4),+5 | Kotlin,2
Junior Flutter Developer,PT Adinata Mitra Solusi,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-8 jt,Kontrak,Not Specified,Minimal Diploma (D1 - D4),+3 | Flutter | GIT,0
Fullstack Developer,PT Okta Prima Mulya,"Depok,Jawa Barat",Rp 4 jt-7 jt,Kontrak,1–3 tahun,Minimal SMA/SMK,Remote/Dari rumah | +8,0
Fullstack Developer (PHP Laravel),PT Sigma Global Teknologi,"Jakarta Pusat,DKI Jakarta",Rp 9 jt-10 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+2 | Laravel,0
DevOps Engineer,PT Tricada Intronik,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Linux | +12,1
DevOps Engineer,Altek Citra Cemerlang,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+7 | Ansible,1
DevOps Engineer,GlobalXtreme,"Kab. Badung,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Linux | +8,1
Devops Engineer,PT. Enigma Cipta Humanika (Enigma Camp),"Jakarta Pusat,DKI Jakarta",Rp 8 jt-12 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+3 | Docker,1
DevOps Engineer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,3–5 tahun,Minimal Sarjana (S1),CI/CD | +3,1
DevOps Engineer,PT Gemilang Bisnis Universal,"Tangerang Selatan,Banten",Rp 7 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+13 | Grafana,1
DevOps Engineer,PT. Aigen Global Teknologi,"Tangerang Selatan,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Jenkins | +8,1
DevOps Engineer,Pt Vanz Inovatif Teknologi (qbit),"Jakarta Pusat,DKI Jakarta",Rp 8 jt-11 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+11 | repository management,1
DevOps Engineer,Lawencon International,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Amazon Web Services (AWS) | +9,1
DevOps Engineer,Transnovasi Bangun Persada,"Jakarta Timur,DKI Jakarta",Rp 10 jt-13 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+7 | Jenkins,1
DevOps Engineer,Goodeva Technology,"Bekasi,Jawa Barat",Rp 5 jt-8 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | NoSQL,1
DevOps Engineer,PT Dikstra Cipta Solusi,"Jakarta Selatan,DKI Jakarta","Rp 4,8 jt-7,2 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Remote Support,1
DevOps Engineer,PT Hydrax Teknologi Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+10 | Remote/Dari rumah,1
DevOps Engineer,PT Evolusi Teknologi Solusi (Evoteks),"Jakarta Pusat,DKI Jakarta",Rp 8 jt-12 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | DevOps,1
DevOps Engineer,PT Mustika Jaya Lestari,"Jakarta Utara,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+5 | Ansible,1
DevOps Engineer,PT Teknologi Struktur Berantai,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-15 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),React Native | +4,1
DevOps Engineer,PT Bagus Harapan Tritunggal,"Jakarta Pusat,DKI Jakarta","Rp 7,6 jt-11 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | Docker,1
DevOps Engineer,Darmawan Aryansyah Grup,"Jakarta Selatan,DKI Jakarta",Rp 13 jt-15 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+7 | Microsoft Office,1
DevOps Engineer,Pt Solusi Teknologi Niaga,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-18 jt,Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+10 | Remote/Dari rumah,1
DevOps engineer,PT Karsa Omni Teknologi Adicipta,"Jakarta Barat,DKI Jakarta",Rp 12 jt-15 jt,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),+2 | Docker,1
DevOps Engineer,PT. Apik Media Inovasi,"Jakarta Selatan,DKI Jakarta","Rp 3,5 jt-6 jt",Penuh Waktu,Not Specified,Minimal SMA/SMK,Network Monitoring | +5 | Linux,1
DevOps Engineer,PT. Fortech Indotama,"Jakarta Selatan,DKI Jakarta","Rp 7,5 jt-10 jt",Freelance,3–5 tahun,Minimal Sarjana (S1),Ticketing System | +2,1
DevOps Engineer,PT Umara Multi Bisnis,"Bandung,Jawa Barat","Rp 3,1 jt-5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+3 | Hardware Maintenance,1
IT DevOps Engineer,PT. Abadi Sejahtera Finansindo,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+4 | Financial System Management,1
Senior Devops Engineer,PT Aktualisasi Gratia Talenta Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 18 jt-25 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+7 | Docker,1
Junior DevOps Engineer,Klikcair,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Log Analysis | +9,1
DevOps Engineer / Platform Engineer,Accelist Lentera Indonesia,"Jakarta Pusat,DKI Jakarta",Rp 10 jt-13 jt,Kontrak,3–5 tahun,Minimal Diploma (D1 - D4),+6 | Kafka,1
DevOps Engineer INTERN,Insignia,"Jakarta Barat,DKI Jakarta","Rp 1 jt-1,5 jt",Magang,Not Specified,Minimal Sarjana (S1),Hybrid | +4 | Docker,1
DevOps Engineer – Azure Cloud,Kitameraki,"Yogyakarta,DI Yogyakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Infrastructure as Code | +3,1
DevOps & Network Engineer,PT Inova Medika Solusindo,"Bandung,Jawa Barat","Rp 3,5 jt-4 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,Computer Networking | +2,1
Site Reliability Engineer,PT Delta Omega Beta,"Jakarta Pusat,DKI Jakarta",Rp 15 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +3,0
Site Reliability Engineer,PT Asia Jaya Remindo,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-20 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | Prometheus,0
Associate Site Reliability Engineer,PT. DES Teknologi Informasi (DESNET),"Semarang,Jawa Tengah",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),+1 | Cloud Security | Linux,0
Senior Site Reliability Engineer,Reku,"Jakarta Selatan,DKI Jakarta",Rp 20 jt-35 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),Hybrid | +12,0
site engineer,Ekamas Mandiri Group,"Batam,Kepulauan Riau",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Civil Engineering | +3,0
Site Engineer,Maha Bangunan,"Jakarta Selatan,DKI Jakarta","Rp 4 jt-4,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | Structural BIM,0
SITE ENGINEER,PT Maju Makmur Cemerlang,"Jakarta Barat,DKI Jakarta","Rp 5,5 jt-7 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+4 | General K3,0
Engineer On Site (EOS),PT. DES Teknologi Informasi (DESNET),"Kab. Pemalang,Jawa Tengah",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),+1 | Customer Service | IT Support,0
Site Engineer,PT. Rumah Mulia Indonesia,"Kab. Kuningan,Jawa Barat",Rp 3 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+6 | SAP,0
Site Engineer,Kanca Studio,"Kab. Sleman,DI Yogyakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | AutoCAD,0
Site Engineer,Waringin Warehouse,"Kab. Tangerang,Banten","Rp 5 jt-5,5 jt",Penuh Waktu,1–3 tahun,Minimal SMA/SMK,AutoCAD | +3,0
Site Engineer,PT Kokoh Sarana Pondasi,"Jakarta Barat,DKI Jakarta","Rp 1,2 jt-2,3 jt",Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),Hybrid | +5,0
Site Engineer,PT. Caspian Neuasa Construction Indonesia,"Jakarta Selatan,DKI Jakarta",Rp 4 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),AutoCAD | +5,0
Site Engineer,Masjid Ismuhu Yahya,"Kab. Kubu Raya,Kalimantan Barat","Rp 3 jt-3,8 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | Structural BIM,0
Site Engineer,Pt Bukitmega Masabadi,"Kab. Bekasi,Jawa Barat","Rp 7,5 jt-8 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Civil Engineering | +4,0
Site Engineer,PT Berkat Sarana Teknik,"Jakarta Barat,DKI Jakarta","Rp 7,5 jt-18 jt",Paruh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Hybrid | +6,0
SITE ENGINEER,PT Sarana Industrial Perkasa,"Batam,Kepulauan Riau",Rp 7 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | AutoCAD,0
Site Engineer,Jati Kencana Beton Ungaran,"Kab. Semarang,Jawa Tengah","Rp 3 jt-4,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Structural BIM | +3,0
Site Engineer,PT Daya Alam Surya,"Jakarta Utara,DKI Jakarta","Rp 1,1 jt",Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | Problem Solving,0
Site Engineer,Berlian Djaya Nusantara,"Kab. Subang,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),AutoCAD | +5,0
Site Engineer,PT. Artha Grafika Mediatama,"Jakarta Barat,DKI Jakarta","Rp 6 jt-7,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | Civil Engineering,0
site engineer,PT Dalila Sinar Persada,"Kab. Karawang,Jawa Barat",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+4 | Teamwork,0
Site Engineer,Shaanxi Yoongjin Construction Engineering Co..Ltd,"Semarang,Jawa Tengah",Rp 4 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+2 | Civil Engineering,0
Site Engineer Intern,Mata Air Persada,"Jakarta Pusat,DKI Jakarta",Rp 2 jt,Magang,Not Specified,Minimal Sarjana (S1),Construction Management | Civil Engineering | +1,1
Engineer On Site,PT BLIP INTEGRATOR PROVIDER,"Denpasar,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),Network Troubleshooting | +2,0
Site Engineer Properti,GAN PROPERTI Bandung,"Bandung,Jawa Barat",Rp 4 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+2 | Cross-functional Team Leadership,0
Engineer on Site,PT TEREX,"Bekasi,Jawa Barat","Rp 3,5 jt-3,7 jt",Penuh Waktu,Not Specified,Minimal SMA/SMK,Teamwork | AutoCAD | Quality Control,0
Site Engineer Struktur,PT Panca Terang Abadi,"Depok,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Structural BIM,0
SITE ENGINEER STAFF,PT Texmura,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+2 | Civil Engineering,0
